month,New York,Los Angeles,Chicago,Dallas,Philadelphia,Houston,Washington,Miami,Atlanta,Boston,San Francisco,Detroit,Riverside,Phoenix,Seattle,Minneapolis,San Diego,St. Louis,Tampa,Baltimore,Denver,Pittsburgh,Portland,Charlotte,Sacramento,,Orlando,Cincinnati,Cleveland,Las Vegas,Columbus,Indianapolis,San Jose,Austin,Virginia Beach
1,,103300,90000,48100,70700,,88100,47000,92800,97200,151100,75100,56900,68200,111500,67000,85100,51600,39100,72200,79000,41200,104700,66500,90700,,41300,57100,61300,76600,57800,,172300,,66700
2,,105100,90600,48200,71100,,88000,47200,93500,98600,147400,75400,57000,68900,112800,67700,85900,51600,39300,72600,79600,41300,104900,67100,90500,,41500,57200,61600,77000,57700,,171700,,66400
3,,105800,91000,48600,71600,,87700,47500,94700,100000,147200,75400,57000,69900,114300,68400,86800,51600,39200,72700,80300,41200,105400,67900,91100,,41500,57300,61800,77100,57900,,173000,,66000
4,,106400,91400,49000,71700,,87600,47600,96200,101000,151300,75300,56900,70400,115700,69200,87900,51300,39300,72700,81000,41000,105500,68500,92600,,41600,57500,62000,76900,58400,,175600,,66100
5,,107000,92000,49500,71700,,87900,47600,98000,102000,153500,75300,56600,70500,117300,69900,89400,51400,39200,72900,81900,40800,105400,69000,93400,,41800,57800,62300,77000,58700,,176500,,66300
6,,107900,93000,49500,71900,,88000,47500,99800,103100,153600,75900,56600,70600,118900,70600,91000,52000,39400,73300,82900,41000,105600,69700,93200,,41900,58000,62700,76800,59000,,176300,,66200
7,,109000,94000,49400,72300,,88500,47800,101200,104200,154600,76900,57000,70700,119500,71300,92600,52400,39600,73700,83700,41400,106100,70500,93500,,42300,58200,63000,76500,59600,,175800,,65900
8,,109800,94700,49700,72500,,89100,48100,102600,105400,155700,77600,57600,70900,120100,71800,94400,52400,39700,74400,84500,41800,106700,71300,93400,,42600,58600,63400,76000,60000,,175200,,66000
9,,110000,94900,50100,72800,,89400,48200,103800,106800,156700,77700,58100,71300,121100,71800,96000,52800,39700,74900,85200,41900,107300,71900,93400,,42500,59000,64000,76000,60500,,174600,,66400
10,,110100,95200,50800,73100,,89400,48200,105200,107800,157300,77900,58700,72100,121800,72200,97100,53500,40200,75200,86000,41900,107800,72300,94200,,42500,59200,64000,75900,61400,,174700,,67000
11,,110600,96000,51100,73200,,89800,48300,107000,108700,158100,78500,59500,72700,122400,72900,98000,54100,40700,75600,86700,42100,108400,72700,94600,,43000,59600,63800,75900,62100,,175500,,67300
12,,111400,97200,51700,73600,,90800,48500,108400,110100,159100,79300,60000,72900,123500,73500,99200,54600,41000,76300,87700,42400,109100,73600,94200,,43300,60200,63800,76600,62600,,176800,,67400
