month,California,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,North Dakota,Vermont,District of Columbia,Wyoming
1,283300,147000,85800,111200,107100,63000,78000,116200,100300,181000,203200,184800,234100,65600,93300,111900,75700,153800,94700,116900,153100,90600,89200,82000,178100,55000,119300,77700,91300,59300,138900,82100,100200,77500,78800,124500,326000,108200,150700,119800,138400,80100,138800,127800,160400,359300,138100
2,285900,147900,86100,111400,107400,63600,78200,116900,101000,181000,203400,185400,236700,65300,93600,112800,76600,153600,95700,117500,155300,91600,89500,82400,179200,55200,119900,78000,91700,59400,139000,82400,100400,77300,79600,125000,327800,108900,151100,120600,137400,81100,140600,127800,161000,361700,138600
3,289100,148700,86800,111500,107600,64100,78600,117600,102100,181600,203500,186800,240000,65600,94200,113600,77700,154100,96600,118400,157100,92200,89700,83400,180600,55600,120800,80300,93000,59400,139600,82500,100800,78800,80700,126200,330000,109600,151600,121100,136800,81900,142500,128700,163500,364300,139400
4,291400,148900,87700,111800,108000,64400,79000,118200,102800,182100,203200,188500,242000,66100,94600,114500,78600,154100,97200,119000,158700,92500,89400,84400,181800,56000,121100,83600,94400,59200,140100,83700,102000,79600,81900,127500,331000,110300,151800,122200,136100,83100,144200,130100,165200,365500,141600
5,293400,149200,88600,112200,108200,64700,79600,119200,102900,182700,203000,191100,242500,66400,95100,115100,79300,153700,97700,119400,160900,93200,90300,85300,183300,56000,120900,85600,95300,59200,140400,86300,103700,80100,82900,128000,331700,110500,152200,122700,135300,84400,145300,130100,166400,365900,143500
6,295100,149700,89200,112900,108300,64900,80100,120700,103000,183200,202700,193200,242700,66700,96100,115600,79600,153300,98000,119800,163200,93700,90300,86000,185300,55900,120800,85800,95200,59600,141300,87900,104600,78600,83600,128400,332600,110800,152600,123000,135200,85600,145600,131500,168000,367000,144100
7,297200,150100,89700,113200,108600,65100,80900,121900,103400,183600,202200,194500,243200,67000,97000,116200,79800,153000,97900,120200,165000,93900,88700,86600,187000,56000,120700,86300,94200,60200,143200,89600,104300,77400,84000,129000,333500,111100,152100,124100,134800,86300,145000,135000,168600,368500,144200
8,299700,149700,90200,113400,109100,65400,81600,123100,103800,183600,201900,195700,244400,67200,97400,117100,80000,152600,98000,120300,166400,94700,87600,86900,188700,56000,120800,86300,92900,60800,145200,92300,103100,78200,84100,130200,334000,111500,151800,125500,134100,86500,143500,137800,169000,370300,144000
9,302300,149000,90800,113600,109400,65800,82200,124200,103900,183700,201600,197500,245700,67200,97800,118000,80000,152300,98100,120300,167700,95700,87700,87000,190400,55700,120800,86000,91800,61400,146300,94400,101900,79700,83900,131400,334100,111700,152100,126000,133500,86600,142400,138300,170900,371500,142900
